,AE (reconstr err),LOF (outlier score),PPCA (log prob),VAE (latent prior prob),VAE (latent prob),VAE (reconstr err),VAE (reconstr err grad),Number of models
5991,False,False,False,False,False,True,False,1
4458,False,False,False,False,False,False,True,1
11064,False,False,False,False,False,False,True,1
14325,False,False,False,False,True,False,False,1
8548,False,False,False,False,False,True,False,1
2604,False,True,False,False,False,False,False,1
1907,False,True,False,False,False,False,False,1
8319,False,False,False,False,False,False,True,1
531,False,True,False,False,False,False,False,1
6079,False,False,False,True,False,False,False,1
634,False,True,False,False,False,False,False,1
11842,False,False,False,False,False,False,True,1
1151,False,False,False,True,False,False,False,1
14496,False,False,False,True,False,False,False,1
1200,False,True,False,False,False,False,False,1
6121,False,True,False,False,False,False,False,1
15249,False,True,False,False,False,False,False,1
17361,False,False,False,True,False,False,False,1
17037,False,False,False,False,False,True,False,1
7096,False,True,False,False,False,False,False,1
1757,False,True,False,False,False,False,False,1
6481,False,False,False,False,False,False,True,1
8767,False,False,False,False,False,False,True,1
1505,False,True,False,False,False,False,False,1
6460,False,True,False,False,False,False,False,1
1829,False,False,False,True,False,False,False,1
9802,False,False,False,True,False,False,False,1
4456,False,False,False,False,False,False,True,1
5806,False,False,False,True,False,False,False,1
11035,False,False,False,True,False,False,False,1
15548,False,False,False,False,False,False,True,1
11395,False,False,False,False,False,False,True,1
11622,False,False,False,False,False,False,True,1
5074,False,False,False,False,False,False,True,1
14087,False,False,False,False,False,False,True,1
17738,False,False,False,False,False,False,True,1
14849,False,False,False,False,False,False,True,1
10614,False,True,False,False,False,False,False,1
14704,False,False,False,False,False,False,True,1
12200,False,False,False,False,False,False,True,1
5119,False,False,False,False,False,False,True,1
11971,False,False,False,False,False,False,True,1
5374,False,False,False,False,True,False,False,1
16579,False,False,False,False,False,False,True,1
4143,False,False,False,False,False,False,True,1
15342,False,True,False,False,False,False,False,1
6587,False,False,False,False,True,False,False,1
4405,False,False,False,False,False,False,True,1
16084,False,False,False,False,False,False,True,1
11222,False,False,False,False,True,False,False,1
1574,False,True,False,False,False,False,False,1
10844,False,False,False,False,False,False,True,1
17423,False,True,False,False,False,False,False,1
11943,False,False,False,False,False,False,True,1
14424,False,False,False,False,False,True,False,1
14421,False,True,False,False,False,False,False,1
9171,False,True,False,False,False,False,False,1
7579,False,False,False,False,False,False,True,1
5570,False,False,False,False,False,False,True,1
9949,False,False,False,False,False,False,True,1
14452,False,False,False,False,True,False,False,1
17039,False,False,False,False,True,False,False,1
6263,False,False,False,False,False,False,True,1
7778,False,False,False,False,True,False,False,1
10573,False,False,False,True,False,False,False,1
4322,False,False,False,False,True,False,False,1
9277,False,True,False,False,False,False,False,1
6136,False,True,False,False,False,False,False,1
3915,False,False,False,False,False,True,False,1
9885,False,False,False,False,False,False,True,1
10442,False,True,False,False,False,False,False,1
5520,False,True,False,False,False,False,False,1
4577,False,True,False,False,False,False,False,1
17507,False,True,False,False,False,False,False,1
5041,False,True,False,False,False,False,False,1
6465,True,False,False,False,False,False,False,1
17828,False,True,False,False,False,False,False,1
16766,False,False,False,False,False,False,True,1
342,False,False,False,False,True,False,False,1
1337,False,True,False,False,False,False,False,1
10571,False,False,False,False,False,False,True,1
1289,False,True,False,False,False,False,False,1
6581,False,False,False,False,False,False,True,1
17324,False,False,False,False,False,False,True,1
17645,False,False,False,False,False,False,True,1
16902,False,False,False,False,False,True,False,1
10345,False,True,False,False,False,False,False,1
8417,False,True,False,False,False,False,False,1
6974,False,False,False,False,False,False,True,1
5243,False,False,False,False,True,False,False,1
3008,False,True,False,False,False,False,False,1
12781,False,True,False,False,False,False,False,1
14777,False,False,False,False,False,False,True,1
8345,False,True,False,False,False,False,False,1
14078,False,True,False,False,False,False,False,1
12132,False,False,False,True,False,False,False,1
14982,False,False,False,False,False,False,True,1
10886,False,True,False,False,False,False,False,1
5067,False,True,False,False,False,False,False,1
12188,False,False,False,True,False,False,False,1
16648,False,True,False,False,False,False,False,1
9008,False,False,False,False,False,False,True,1
7368,False,True,False,False,False,False,False,1
4482,False,False,False,False,False,True,False,1
17632,False,False,False,False,False,False,True,1
5647,False,False,False,False,False,False,True,1
4120,False,False,False,False,True,False,False,1
14890,True,False,False,False,False,False,False,1
1848,False,True,False,False,False,False,False,1
9915,False,False,False,True,False,False,False,1
7418,False,False,False,False,False,False,True,1
6362,False,False,False,False,False,True,False,1
17974,False,False,False,False,True,False,False,1
9658,False,False,False,False,False,True,False,1
5037,False,False,False,False,True,False,False,1
13861,False,False,False,False,False,False,True,1
5241,False,False,False,False,False,False,True,1
5409,False,True,False,False,False,False,False,1
1756,False,False,False,True,False,False,False,1
497,False,True,False,False,False,False,False,1
1364,False,False,False,True,False,False,False,1
4596,False,False,False,False,False,False,True,1
4937,False,False,False,False,False,True,False,1
10896,False,False,False,False,True,False,False,1
15572,False,False,False,True,False,False,False,1
9528,False,False,False,False,True,False,False,1
187,False,True,False,False,False,False,False,1
14893,False,True,False,False,False,False,False,1
441,False,True,False,False,False,False,False,1
12782,False,False,False,False,False,True,False,1
11683,False,False,False,False,True,False,False,1
11948,False,True,False,False,False,False,False,1
2093,False,True,False,False,False,False,False,1
5285,False,False,False,False,False,False,True,1
9536,False,True,False,False,False,False,False,1
3644,True,False,False,False,False,False,False,1
5939,False,True,False,False,False,False,False,1
15330,False,True,False,False,False,False,False,1
5048,False,True,False,False,False,False,False,1
4396,False,True,False,False,False,False,False,1
870,False,True,False,False,False,False,False,1
9104,False,False,False,False,False,False,True,1
14071,False,False,False,False,False,True,False,1
13970,False,False,False,False,False,False,True,1
16332,False,False,False,True,False,False,False,1
15817,False,True,False,False,False,False,False,1
5394,True,False,False,False,False,False,False,1
7880,False,True,False,False,False,False,False,1
1196,False,False,False,False,True,False,False,1
2787,False,True,False,False,False,False,False,1
11390,False,False,False,False,False,False,True,1
17560,False,True,False,False,False,False,False,1
13947,False,True,False,False,False,False,False,1
17977,False,False,False,False,False,False,True,1
12920,False,True,False,False,False,False,False,1
17394,False,False,False,False,True,False,False,1
11001,False,False,False,False,False,False,True,1
7659,False,False,False,False,False,False,True,1
2424,False,True,False,False,False,False,False,1
3947,False,True,False,False,False,False,False,1
1996,False,True,False,False,False,False,False,1
3129,False,True,False,False,False,False,False,1
17437,False,False,False,False,False,False,True,1
5661,False,True,False,False,False,False,False,1
18003,False,True,False,False,False,False,False,1
12931,False,False,False,False,False,False,True,1
8347,False,True,False,False,False,False,False,1
9712,False,True,False,False,False,False,False,1
10096,False,False,False,False,False,False,True,1
12834,False,False,False,False,False,False,True,1
6593,False,False,False,False,False,False,True,1
15869,False,True,False,False,False,False,False,1
14949,False,True,False,False,False,False,False,1
8089,False,False,False,False,False,False,True,1
15486,False,False,False,False,False,False,True,1
1967,False,False,False,False,True,False,False,1
6129,False,False,False,False,True,False,False,1
11767,False,False,False,True,False,False,False,1
4920,False,False,False,False,False,True,False,1
14884,False,True,False,False,False,False,False,1
13993,False,False,False,True,False,False,False,1
15754,False,True,False,False,False,False,False,1
3828,False,True,False,False,False,False,False,1
12906,False,True,False,False,False,False,False,1
10234,False,True,False,False,False,False,False,1
3255,False,False,False,False,True,False,False,1
17878,False,True,False,False,False,False,False,1
11956,False,False,False,False,False,True,False,1
14717,False,True,False,False,False,False,False,1
14653,False,True,False,False,False,False,False,1
1319,False,False,False,False,True,False,False,1
5463,False,False,False,True,False,False,False,1
7415,False,False,False,False,True,False,False,1
4912,True,False,False,False,False,False,False,1
17528,False,False,False,False,True,False,False,1
1014,False,True,False,False,False,False,False,1
11654,False,False,False,False,False,False,True,1
11410,False,False,True,False,False,False,False,1
1455,False,False,False,False,False,True,False,1
3327,False,False,False,False,False,True,False,1
6337,False,True,False,False,False,False,False,1
14123,False,False,False,False,True,False,False,1
13154,False,True,False,False,False,False,False,1
13735,False,True,False,False,False,False,False,1
5410,False,True,False,False,False,False,False,1
6582,False,False,False,False,False,False,True,1
4063,False,True,False,False,False,False,False,1
15936,False,False,False,False,False,True,False,1
270,False,True,False,False,False,False,False,1
1325,False,True,False,False,False,False,False,1
17030,False,True,False,False,False,False,False,1
17230,False,True,False,False,False,False,False,1
9582,False,False,False,False,False,False,True,1
1135,True,False,False,False,False,False,False,1
2866,False,False,False,True,False,False,False,1
2195,False,True,False,False,False,False,False,1
4615,False,False,False,False,True,False,False,1
5634,False,True,False,False,False,False,False,1
7703,False,False,False,False,False,False,True,1
3311,False,True,False,False,False,False,False,1
12261,False,False,False,True,False,False,False,1
14937,False,True,False,False,False,False,False,1
5934,False,False,False,False,False,False,True,1
1338,False,True,False,False,False,False,False,1
10343,False,True,False,False,False,False,False,1
14440,False,False,False,False,False,True,False,1
13654,False,False,False,True,False,False,False,1
12867,False,True,False,False,False,False,False,1
15865,False,True,False,False,False,False,False,1
13822,False,True,False,False,False,False,False,1
6574,False,True,False,False,False,False,False,1
12458,False,False,False,False,False,False,True,1
4027,False,False,False,False,False,True,False,1
1401,False,False,False,False,True,False,False,1
14921,False,False,False,False,False,False,True,1
5488,False,False,False,False,True,False,False,1
16248,False,False,False,False,True,False,False,1
14321,False,False,False,False,False,False,True,1
2780,False,False,False,False,False,True,False,1
570,False,True,False,False,False,False,False,1
2904,False,True,False,False,False,False,False,1
4214,False,True,False,False,False,False,False,1
10066,False,True,False,False,False,False,False,1
3832,False,True,False,False,False,False,False,1
3348,False,False,False,False,False,False,True,1
2600,False,True,False,False,False,False,False,1
3637,False,False,False,False,False,False,True,1
12017,False,False,False,False,False,False,True,1
10558,False,False,False,False,False,True,False,1
11413,False,False,False,False,False,True,False,1
13170,False,False,False,False,False,False,True,1
12792,False,False,False,False,False,False,True,1
15907,False,False,False,False,False,False,True,1
9583,False,False,True,False,False,False,False,1
14868,False,False,False,False,False,True,False,1
17938,False,True,False,False,False,False,False,1
11426,False,False,False,False,False,False,True,1
7986,False,True,False,False,False,False,False,1
1497,False,False,False,False,True,False,False,1
1422,False,False,False,False,False,True,False,1
14099,False,False,True,False,False,False,False,1
10642,False,True,False,False,False,False,False,1
12851,False,False,False,False,True,False,False,1
9501,False,True,False,False,False,False,False,1
1132,False,False,False,False,True,False,False,1
11985,False,True,False,False,False,False,False,1
771,False,True,False,False,False,False,False,1
10587,False,True,False,False,False,False,False,1
8954,False,False,False,False,False,False,True,1
1546,False,True,False,False,False,False,False,1
16952,False,False,False,False,False,False,True,1
9302,False,True,False,False,False,False,False,1
16543,False,False,False,False,False,False,True,1
17484,False,False,False,False,False,True,False,1
14214,False,False,False,False,False,False,True,1
14598,False,False,False,False,False,False,True,1
2951,False,True,False,False,False,False,False,1
16982,False,False,False,False,True,False,False,1
2007,False,True,False,False,False,False,False,1
16761,False,True,False,False,False,False,False,1
10295,False,False,False,False,False,False,True,1
6774,False,False,False,False,False,False,True,1
13803,False,False,False,False,False,False,True,1
8770,False,True,False,False,False,False,False,1
13202,False,True,False,False,False,False,False,1
8775,False,False,False,False,True,False,False,1
