,LOF (outlier score),LogReg (entropy),LogReg (max prob),AE (reconstr err),NN (entropy),NN (max prob),PPCA (log prob),VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),MCDropout (entropy),MCDropout (std),MCDropout (mutual information),Number of models
11951,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,4
16167,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,4
12310,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4
4236,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,4
1567,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,4
1094,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,4
10461,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,4
9744,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4
405,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4
9486,False,False,False,False,True,True,False,True,True,False,False,False,False,False,False,False,False,4
16269,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4
5366,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,4
16164,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,4
17796,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4
4316,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4
17434,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,4
3303,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,False,4
1958,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,4
12823,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,4
5780,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,4
17219,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,4
14580,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,4
3451,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4
6623,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,4
3243,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,4
2743,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,4
13243,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,4
2660,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,4
13333,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,4
15984,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,4
12000,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,4
917,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4
11676,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,4
587,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,4
8967,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,4
658,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,4
3583,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,4
2792,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,4
1159,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4
9797,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,4
6039,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,4
15594,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,4
141,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,4
4945,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,4
1988,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,4
6919,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,4
6999,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,4
423,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,4
1137,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,4
11883,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4
4970,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,4
16735,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,4
2130,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,4
15972,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,4
17993,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,4
6555,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,4
3278,False,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,4
7789,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,4
10686,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,4
7156,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,4
10207,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,4
10669,False,False,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,4
11897,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,3
9467,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
3792,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,3
14216,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
1051,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,3
9689,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3
10152,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3
17037,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,3
10503,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
7160,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,3
14653,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
6990,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3
10213,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,3
3363,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,3
174,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3
17086,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
11618,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,3
11705,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3
12517,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,3
6450,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,3
5131,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3
1319,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,3
5243,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,3
16160,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,3
14238,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,3
10350,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3
4967,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,3
16602,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,3
5808,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3
2904,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,3
1476,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,3
14115,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,3
4912,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,3
8547,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
4997,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3
3311,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,3
14717,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3
6048,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,3
10587,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
16230,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3
6093,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3
10906,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,3
11748,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
11783,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3
7096,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,3
3868,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,3
3824,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,3
12297,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,3
6989,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3
1774,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
15752,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3
3046,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,3
1230,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3
9133,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,3
193,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,3
14981,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3
14800,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,3
9008,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,3
5048,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
16795,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,3
8491,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,3
15009,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,3
