,VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),NN (entropy),NN (max prob),PPCA (log prob),AE (reconstr err),LOF (outlier score),AnchoredNNEnsemble (entropy),AnchoredNNEnsemble (std),AnchoredNNEnsemble (mutual information),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),LogReg (entropy),LogReg (max prob),MCDropout (entropy),MCDropout (std),MCDropout (mutual information)
16879,132.01146,-17.144157,24.54786,332.8834,0.39313197,0.07745063,1151.39433017619,0.5622477,1.1277993471627301,0.20283425,0.076993145,0.079409406,0.37482136,0.02078128,0.0046882927,0.8565786546921295,0.2808295601596582,0.33152097,1.1175871e-08,8.940697e-08
447,325.39862,-17.460897,23.791199,1530.4094,0.17732227,0.026653707,1157.4274269375182,0.50107837,1.2464489286030507,0.028108392,0.007239981,0.0069927815,0.1556113,0.0073668547,0.001817137,0.03806961276440055,0.004056262773674657,0.10939056,4.656613e-09,2.9802322e-07
12095,134.38298,-16.313276,24.422089,1861.9808,0.9693726,0.3973388,1100.6567963806006,0.41387376,0.9947933382178356,0.93732387,0.28096193,0.26765722,0.9062128,0.052623663,0.009675503,0.6630854558711334,0.172364592227076,0.74692756,4.4703484e-08,2.3841858e-07
12414,266.29407,-17.73612,24.096146,2257.9277,0.13590288,0.01902014,999.173532721916,0.30835927,1.0876230375399305,0.16149662,0.04872056,0.055765122,0.16245763,0.007499275,0.0017684251,0.21093131642379867,0.03335166450435878,0.18831722,1.8626451e-09,3.5762787e-07
8932,795.2469,-11.98231,22.305157,275.76477,0.03727185,0.00395602,1243.511344940601,0.5699497,1.0968663388378819,0.018607302,0.005199399,0.0056678858,0.08071392,0.004222971,0.0012163296,0.025626615123896777,0.0025480822706485107,0.068016395,3.7252903e-09,-4.5448542e-07
12428,-308.4429,-17.78119,23.51162,3096.6946,0.01728136,0.0016123652,972.01388459181,0.2970271,1.0523327906759508,0.0005099648,4.6365236e-05,4.288723e-05,0.01279389,0.00036236522,7.7244826e-05,0.006976605943863062,0.0005710938070885296,0.012230238,3.4924597e-10,4.2840838e-07
6228,125.50233,-19.966702,26.435875,1252.973,0.34037143,0.063290656,1137.1294046626695,0.57884276,1.057819539919425,0.19853418,0.061978515,0.0639205,0.3873213,0.023426319,0.005308807,0.5530643761515459,0.12841107908131788,0.28260547,1.4901161e-08,2.0861626e-07
3105,704.456,-11.651125,23.796549,146.78271,0.12250824,0.016703486,1329.2318247837754,0.65176207,1.4866318177932318,0.1601404,0.061646428,0.06793396,0.10047434,0.008324336,0.003168203,0.03341874149237126,0.0034783866799775742,0.23670806,1.1175871e-08,-2.2351742e-07
17967,1830.8069,-6.7686405,24.436485,195.56882,0.48889714,0.10637927,2049.556293426262,1.2985196,1.4583483667111348,0.34462932,0.07271137,0.06850299,0.5952255,0.031108223,0.005659044,0.006854783154651184,0.0005598008776211971,0.6887606,1.1920929e-07,2.9802322e-07
7841,444.45154,-20.813406,28.930027,252.236,0.055060122,0.006292343,1541.230029529856,1.2901593,1.0730222059553594,0.04552551,0.014360098,0.015553419,0.054745875,0.003099696,0.0011240691,0.0012895201656063487,8.629819650440851e-05,0.063493244,3.259629e-09,4.991889e-07
