,MCDropout (entropy),MCDropout (std),MCDropout (mutual information),NN (entropy),NN (max prob),VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),LOF (outlier score),LogReg (entropy),LogReg (max prob),AnchoredNNEnsemble (entropy),AnchoredNNEnsemble (std),AnchoredNNEnsemble (mutual information),PPCA (log prob),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),AE (reconstr err),Number of models
6999,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,7
4979,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False,7
423,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,7
11676,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,7
405,False,False,False,False,False,False,True,False,False,True,True,True,True,True,True,False,False,False,False,False,7
10669,False,False,False,False,False,True,False,True,False,False,False,False,True,True,True,True,False,False,False,True,7
2594,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,7
1567,True,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,7
9744,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,7
917,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,7
7361,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,7
12207,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,False,True,7
6555,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,7
9486,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,7
2890,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,True,False,7
5780,False,True,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,7
5991,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,7
4316,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,7
14558,True,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,7
